lat,lon,Field_Code,OM30,BD30,MTC_ha30,CO2e_ha30,OM15,total_c_15,soil_texture_sand15,soil_texture_silt15,soil_texture_clay15
43.7,-72.43,AW14,3.74,1.308928053,73.43086377,269.2465005,5.47017,3.967,57.72632,27.6498,14.62388
44.9863,-73.30327,NW19C,7.17,1.338458201,143.9511795,527.8209916,7.42,4.935,17.87653966,52.82370941,29.29975092
44.9897,-73.30001,NW19T,4.51,1.234769365,83.53214754,306.284541,4.74,3.098,37.28190259,37.50163876,25.21645865
45.00569,-72.83619,NW10C,4.23,1.35466715,85.95363067,315.1633124,4.93,3.341,36.98526398,46.68751271,16.32722331
45.00284,-72.83834,NW10T,4.39,1.312906053,86.45486359,317.0011665,5.02,3.49,33.64049045,50.24134117,16.11816838
44.93277,-73.02124,NW01C,2.9,1.39684454,60.76273749,222.7967041,2.64,2.031,74.07473767,16.08105798,9.844204353
44.91995,-73.05033,NW01T,4.51,1.38687835,93.82232038,344.0151747,4.2,3.771,74.02142946,16.53747058,9.441099963
43.895956,-72.161362,WR1,4.84,1.445381198,104.934675,384.7604749,3.64,3.229,68.25945,21.21676,10.52379
43.892707,-72.164124,WR4,3.63,1.357688937,73.92616262,271.0625963,3.24,2.867,65.87518,23.11791,11.00691
43.36,-73.18,D7,7.3,1.358427618,148.7478242,545.4086886,5.105059,3.605,32.24371,52.78902,14.96727
43.38,-73.17,D8,6.67,1.327894117,132.8558064,487.1379568,5.178994,3.356,31.21977,54.32387,14.45636
44.90797,-72.96525,NW06C,4.1,,,,4.29,3.031,35.71246216,51.04910235,13.23843549
44.90229,-72.95568,NW06T,5.62,1.23095519,103.7695225,380.4882492,4.87,3.589,44.66631992,40.29441259,15.03926749
44.29,-72.97,AW10,1.69,1.459160548,36.98971989,135.6289729,1.474819,1.008,74.29256,19.509,6.198447
44.27,-72.96,AW11,2.76,1.374429638,56.90138701,208.638419,2.226442,1.63,55.84637,32.64311,11.51052
44.8379,-72.4554,EL3,,,,,6.68,4.719,47.67586,28.12216,24.20198
43.806739,-72.188149,WR2,2.58,1.357326323,52.5285287,192.6046052,2.69,1.927,42.07774,47.97445,9.947806
43.806778,-72.185883,WR3,2.87,1.239295319,53.35166348,195.6227661,2.28,1.601,36.76448,48.43919,14.79633
43.5505028,-72.4252278,AW8,6.24,1.296648838,121.3663312,445.0098812,5.04,3.639,66.49902,21.069,12.43198
43.5484811,-72.4239081,AW9,4.99,1.231136494,92.15056658,337.8854108,5.33,3.426,68.79286,17.69379,13.51335
43.0017375,-73.1955605,RM10,5.38,,,,4.12,2.598,49.46878,35.04342,15.48779
43.0001996,-73.195861,RM9,3.83,,,,2.45,1.548,24.88914,61.42698,13.68388
42.80414,-72.86338,AW2,5.4,0.978845932,79.28652049,290.7172418,6.59,4.903,50.80255,32.14039,17.05706
42.793076,-72.863496,AW3,5.47,1.087975709,89.26840692,327.3174921,6.62,4.264,47.88354,35.06548,17.05098
43.6027126,-72.3763949,WR5,3.51,1.286172759,67.71699576,248.2956511,4.04,2.74,46.59179,41.79451,11.6137
43.5991614,-72.3977285,WR6,3.32,1.273955217,63.44296981,232.6242226,4.01,2.875,50.41714,35.57573,14.00714
44.00027,-73.3666,DC22,5.28,1.298159732,102.8142508,376.9855862,4.54,2.453,12.79253,40.60884,46.59863
44.00005,-73.3666,DC23,5.81,1.275073278,111.1226362,407.449666,6.45,3.796,13.90074,49.58179,36.51747
45.9409,-73.3608,DC24,6.29,1.298524559,122.5157921,449.224571,6.04,3.603,10.22307,51.86158,37.91535
43.97,-73.36,DC25,6.34,1.506536481,143.2716193,525.3292709,6.23,3.694,10.3559,42.42083,47.22327
43.97687,-73.3599,DC26,5.81,1.241108392,108.1625964,396.5961867,5.28,2.83,12.14302,34.71563,53.14134
43.9598,-73.3675,DC38,5.98,1.092738646,98.01865655,359.4017407,4.42,2.748,12.49089,36.58574,50.92337
43.96078,-73.361,DC39,5.64,1.317106337,111.4271961,408.5663857,5.14,2.901,10.69417,38.24651,51.05932
43.97548,-73.3178,DC40,5.48,1.134983,93.2956026,342.0838762,5.15,3.018,9.303294,38.62728,52.06943
44.825972,-73.155306,DA3,3.26,1.354820438,66.25071942,242.9193045,3.86,2.251,6.680325043,43.57056444,49.74911051
44.825972,-73.155306,DA2,4.22,1.420431187,89.91329414,329.6820785,4.24,2.536,12.64643648,44.15159402,43.20196951
44.825972,-73.155306,DA4,4.33,1.333974492,86.64164326,317.6860253,5.21,3.365,10.77532934,43.39058795,45.8340827
44.825972,-73.155306,DA1,3.8,1.402159839,79.92311082,293.0514064,4.23,2.365,11.23446952,41.21785505,47.54767543
43.684926,-72.6004619,WR8,5,1.382830206,103.7122655,380.2783067,4.94,3.749,50.0622,32.27695,17.66085
43.678455,-72.5990886,WR7,4.26,1.224541426,78.24819712,286.9100561,4.48,3.265,46.44626,32.74681,20.80693
43.1396347,-73.0926867,RM11,6.24,,,,5.36,3.269,33.39683,44.89772,21.70545
43.98329,-73.106961,RM4,2.52,1.43831,54.368118,199.349766,2.9,2.223,69.29816,18.5517,12.15014
43.9820397,-73.1106289,RM5,2.79,1.345028,56.2894218,206.3945466,2.98,2.703,76.34985,15.01018,8.639974
43.4859194,-72.8704332,RM1,4.85,1.198501194,87.19096186,319.7001935,4.34,3.145,47.71241,38.43097,13.85662
44.96717,-72.97056,NW12C,4.38,1.512120132,99.3462927,364.2697399,4.93,3.074,6.625967,70.82423,22.5498
44.96699,-72.97155,NW12T,4.23,1.289874102,81.84251178,300.0892099,4.83,3.001,10.2817,62.20428,27.51403
44.14127,-73.0977,LO16,3.53,1.351584927,71.56642188,262.4102136,3.244832,2.272,59.03471,29.95465,11.01064
44.14087,-73.0966,LO17,2.35,1.401383978,49.39878522,181.1288792,2.977728,2.351,73.06972,19.31645,7.613832
44.1432,-73.1019,LO18,2.89,1.437403681,62.31144957,228.4753151,3.387235,2.251,59.07056,29.20912,11.72032
44.13838,-73.1028,LO19,2.39,1.355271508,48.58648356,178.1504397,2.465591,1.786,61.4182,26.33242,12.24939
44.14389,-73.1098,LO20,2.06,1.463874535,45.23372313,165.8569848,2.847768,1.991,65.31384,25.80658,8.879582
44.14508,-73.1145,LO21,3.36,1.477956063,74.48898558,273.1262804,3.586419,2.392,40.01275,41.17676,18.81049
44.142,-73.108,LO22,2.98,1.556725,69.5856075,255.1472275,2.764737,2.101,47.78826,33.0505,19.16124
44.1,-73.1,LO23,2.23,1.569258911,52.49171056,192.4696054,2.696664,1.868,38.71487,43.6727,17.61243
44.1,-73.1,LO24,3.44,1.298524559,67.00386722,245.6808465,4.050818,3.239,69.9411,19.80568,10.25322
44.136,-73.118,LO25,3.13,1.506536,70.7318652,259.3501724,3.326951,2.378,33.37261,43.83814,22.78925
44.1,-73.1,LO26,5.65,1.408395,119.3614763,437.6587463,3.64,2.017,11.13506,53.91712,34.94782
44.14767,-73.1229,LO27,3.26,1.399419817,68.43162905,250.9159732,2.531341,1.605,16.60096,62.92417,20.47487
44.15044,-73.1258,LO28,4.56,1.456089644,99.59653166,365.1872827,2.57559,1.814,57.3595,31.47866,11.16184
44.14962,-73.1245,LO30,,1.412763966,,,2.794872,1.807,53.45981,32.54075,13.99944
44.1,-73.1,LO31,3.48,1.378297525,71.94713081,263.8061463,3.903804,2.752,29.04684,54.59933,16.35383
44.1,-73.1,LO32,2.77,1.490103647,61.91380653,227.0172906,2.824621,1.745,36.56574,44.965,18.46926
44.14493,-73.1237,LO33,2.55,1.50497084,57.56513463,211.0721603,2.44,1.592,46.47477,38.75303,14.77221
44.1,-73.1,LO34,3.93,1.494878071,88.12306229,323.117895,3.356702,2.103,23.13523,47.35832,29.50645
44.15402,-73.1,LO35,4.03,1.489384,90.0332628,330.1219636,3.88,2.411,27.72623,38.49227,33.78149
44.90565,-73.14037,NW23C,3.08,1.39069872,64.25028086,235.5843632,2.81,1.775,70.4979787,18.96904375,10.53297754
44.90206,-73.14776,NW23T,4.64,1.321932012,92.00646806,337.3570495,5.05,3.119,37.72925504,42.06004502,20.21069994
44.866338,-72.800924,NW07C,4.3,1.350738827,87.12265434,319.4497326,4.57,2.964,33.12840733,47.86835949,19.00323318
44.86929,-72.80023,NW07T,4,1.24751458,74.8508748,274.4532076,3.48,2.255,27.16800828,54.99154492,17.8404468
44.42955,-71.955223,D1,6.54,1.181408738,115.8961972,424.9527231,5.76,4.316,43.99143,39.53854,16.47003
44.102925,-72.621645,VE2,4.53,1.193001541,81.06445471,297.2363339,4.33,3.163,28.10327028,53.20593098,18.69079874
44.1017995,-72.6205603,VE1,3.86,1.183210951,68.50791406,251.1956849,4.14,3.166,47.14609426,35.88950741,16.96439833
43.9302574,-73.3346288,RM2,4.12,1.301785876,80.45036714,294.9846795,4.73,3.288,19.23169,50.52889,30.23942
43.9314473,-73.3366887,RM3,5.72,1.086513764,93.22288095,341.8172302,3.88,2.713,38.89647,39.98703,21.1165
44.04,-73.31,AW15,5.86,1.296496008,113.9619991,417.8606633,6.300941,4.164,17.75656,42.30239,39.94104
44.05,-73.31,AW16,8.68,1.308854105,170.4128045,624.84695,7.001432,4.245,15.0508,45.90873,39.04047
43.8146535,-73.3085515,VE9,5.9,1.062581211,94.03843717,344.807603,5.67,3.263,7.832677791,46.62308209,45.54424012
43.8223328,-73.3129503,VE10,6.16,0.999184117,92.32461241,338.5235788,5.61,3.343,11.06136192,45.65595693,43.28268115
44.6888,-72.2589,EL5,,,,,6.086467,4.328,29.10315,53.99595,16.9009
44.430986,-73.206318,AW1,2.11,1.441875925,45.63537303,167.3297011,2.64,2.143,86.67461,6.473622,6.851767
44.9207,-73.07089,NW02C,1.79,1.386629194,37.23099386,136.5136441,1.44,1.092,57.46952742,29.2728679,13.25760468
44.91927,-73.08179,NW02T,1.72,1.404568335,36.23786304,132.8721645,1.4,1.174,64.31309532,26.05541696,9.631487721
44.83949,-72.80297,NW08C,5.15,1.171879249,90.52767202,331.9347974,4.69,3.119,32.97363,49.23965,17.78672
44.83033,-72.80366,NW08T,4.87,1.159278397,84.6852869,310.5127186,4.68,2.911,33.77498,46.75402,19.471
44.82882,-73.10775,NW11C,3.82,1.378822345,79.00652038,289.6905747,4.02,2.851,50.72540213,34.6611521,14.61344577
44.83077,-73.1038,NW11T,3.65,1.63387375,89.45458781,328.0001553,4.07,2.652,31.52235386,40.81926929,27.65837685
43.31176,-73.1643,PM3,3.12,1.396776182,65.36912532,239.6867928,3.439744,2.179,31.80808,57.66122,10.5307
44.2917964,-73.2677347,D2,3.63,1.39032424,75.70315487,277.5782345,3.54,2.57,45.37376,40.66995,13.95629
44.98362,-72.839916,LC1,5.3,1.397342848,111.0887564,407.3254402,4.44,2.972,40.03995223,49.73997709,10.22007068
44.977389,-72.837329,LC10,7.05,0.976188281,103.2319107,378.517006,6.06,3.828,41.10708188,37.95064523,20.94227289
44.994538,-72.835574,LC11,3.6,1.47686822,79.75088388,292.4199076,4.79,3.356,31.23280006,49.88470642,18.88249352
44.977914,-72.85294,LC12,3.43,1.409385327,72.51287507,265.8805419,7.67,5.381,28.22172614,53.17247055,18.60580331
44.944336,-72.892604,LC14,3.42,1.188800328,60.98545683,223.6133417,6.06,4.009,25.17952545,59.15309411,15.66738044
44.951106,-72.91168,LC15,7.51,1.456890831,164.1187521,601.7687577,4.86,3.418,65.64672663,23.73832525,10.61494812
44.99121,-72.841005,LC16,3.11,1.377149246,64.24401233,235.5613785,4.46,3.037,42.10032869,41.22475859,16.67491272
44.981845,-72.841045,LC17,4.1,1.491312362,91.71571026,336.2909376,4.07,3.104,37.45329506,46.10755159,16.43915334
44.969173,-72.893881,LC18,5.94,1.223266734,108.993066,399.641242,4.04,2.738,41.10325834,45.49932875,13.3974129
44.949092,-72.903334,LC19,4.54,1.155704,78.7034424,288.5792888,4.8,3.277,33.31681787,47.45795613,19.225226
44.988896,-72.879997,LC4,7.05,1.131328634,119.638003,438.6726778,6.44,4.811,25.4372005,54.39071989,20.17207962
44.958179,-72.916052,LC5,4.59,1.360045931,93.63916235,343.3435953,4.9,3.258,61.22931,28.43826,10.33244
44.948039,-72.90138,LC6,3.6,1.22301758,66.04294932,242.1574808,4.67,2.94,31.24366,49.24352,19.51281
44.954053,-72.843788,LC8,7.23,1.317945536,142.9311934,524.0810424,6.62,4.852,37.14603,44.33798,18.51599
44.89002,-73.04466,NW24C,3.87,1.381681927,80.20663586,294.0909982,5.47,3.608,39.31793569,43.20571665,17.47634766
44.86138,-73.0668,NW24T,4.01,1.518991932,91.36736471,335.0136706,3.22,2.217,50.22032311,29.10166122,20.67801567
43.71118,-73.2839,EL2,,,,,9.09,5.754,8.300665,55.68992,36.00942
44.821977,-73.171448,NW14C,6.7,1.190627463,119.65806,438.7462201,6.6,4.399,26.77614079,45.09665818,28.12720103
44.82076,-73.172822,NW14T,5.68,1.214691659,103.4917293,379.4696743,6.28,4.182,42.42590443,35.60215757,21.971938
44.95672,-73.02309,NW18C,3.7,1.51272846,83.95642953,307.8402416,3.57,2.457,43.11068137,40.32934708,16.55997155
44.96037,-73.03261,NW18T,4.03,1.260697708,76.20917645,279.433647,3.52,2.346,22.10510328,54.17204588,23.72285084
44.97643,-72.92134,NW15C,6.17,1.36088333,125.9497522,461.815758,4.86,3.447,39.30617423,40.11433856,20.57948722
44.97795,-72.92078,NW15T,5.15,1.562409341,120.6961216,442.5524458,6.24,4.451,43.0162684,41.04103158,15.94270002
44.88017,-73.07436,NW16C,5.62,1.339570641,112.925805,414.0612851,5.19,3.49,26.1754671,58.436547,15.3879859
44.87889,-73.0759,NW16T,4.38,1.308746736,85.98466056,315.2770887,4.55,2.899,34.36190969,44.58954448,21.04854583
44.98177,-72.81388,NW04C,3.81,1.342398695,76.71808542,281.2996465,5.37,3.756,40.95754936,40.07988759,18.96256305
44.98235,-72.812152,NW04H,4.52,1.233856102,83.65544372,306.736627,6.17,4.105,55.32757126,15.63926014,29.0331686
44.98177,-72.81388,NW04T,3.61,1.263469616,68.41687971,250.8618923,3.34,2.269,68.24547756,22.62645125,9.128071188
44.36677,-73.2559,MC01,3.759939727,1.319653,74.42723611,272.8998657,4.028462,2.739,66.52083,21.32172,12.15745
44.3545,-73.2607,MC02,3.473002101,1.405026,73.19487376,268.3812038,3.27,1.993,36.14292,43.15246,20.70462
44.36822,-73.263,MC03,4.510290995,1.336479,90.41863798,331.5350059,4.63,2.517,27.48177,48.03784,24.48039
44.36831,-73.2648,MC04,5.095124159,1.303235,99.60216201,365.2079274,5.23,3.129,13.19932,45.71289,41.0878
44.36989,-73.2512,MC05,4.153928512,1.457236,90.79881254,332.9289793,3.897632,2.533,41.21457,38.13995,20.64547
44.35434,-73.262,MC06,4.314296808,,,,4.963391,3.498,37.15277,39.4931,23.35413
44.36972,-73.252,MC07,6.293536906,1.335645,126.0889665,462.3262105,6.655016,3.947,19.17618,42.59689,38.22693
44.37122,-73.2671,MC08,6.711344157,1.202359,121.0416757,443.8194777,7.55,4.92,20.94077,51.37966,27.67957
44.37014,-73.2475,MC09,3.491941106,1.576117,82.5556161,302.7039257,3.379113,2.022,34.78655,37.92903,27.28442
44.37,-73.25,MC10,3.44249479,1.368594,70.67066572,259.1257743,3,,37,40,21
43.82,-73.23,AW13,3.96,1.416069864,84.11454992,308.4200164,3.753503,1.897,25.94562,31.50539,42.54899
43.5,-73.14,AW12,5.58,1.27319977,106.5668207,390.7450094,6.438096,3.702,10.65695,35.64824,53.69481
44.479185,-73.131685,VE3,2.68,1.325053637,53.26715621,195.3129061,2.46,1.658,31.54485853,56.20061002,12.25453145
44.469072,-73.048617,VE5,4.26,1.179766114,75.38705468,276.4192005,4.38,3.329,40.54360449,38.58181718,20.87457833
44.476488,-73.046751,VE6,1.57,1.416069864,33.3484453,122.2776328,1.76,1.28,58.07483953,32.10348272,9.821677747
44.48273,-73.136191,VE4,3.36,1.330553289,67.05988577,245.8862478,3.43,2.409,36.13556433,46.40797274,17.45646293
44.89193,-72.41358,NW09C,4.67,1.30287372,91.26630409,334.643115,3.97,3.097,61.65021,20.64735,17.70244
44.889892,-72.410737,NW09H,3.54,1.244371922,66.07614906,242.2792132,4.67,3.106,9.140466,65.66511,25.19442
44.89105,-72.41259,NW09T,6.03,1.160184933,104.9387272,384.775333,5.65,3.827,39.83676,40.94539,19.21786
43.6314462,-73.3342497,RM7,2.07,1.489741033,46.25833561,169.6138972,2.12,1.379,68.99044,19.9386,11.07096
43.6311666,-73.3359931,RM8,1.45,1.489801469,31.10211109,114.041074,1.31,0.941,83.12198,10.03196,6.84606
44.85817,-73.16473,NW27C,4.62,1.429982119,99.09776085,363.3584564,3.79,2.415,27.69253855,41.97837192,30.32908953
44.85555,-73.17063,NW27T,3.72,1.469514671,81.99891864,300.6627017,3.88,2.296,39.46369476,34.49419246,26.04211278
44.68666,-72.98117,NW05C,3.24,1.281568944,62.28425068,228.3755858,3.59,2.297,25.13056,58.10534,16.7641
44.68548,-72.98062,NW05T,2.75,1.260639946,52.00139777,190.6717918,3.57,2.301,19.1415,62.20989,18.64861
44.871508,-73.258722,NW26C,5.82,1.484879214,129.6299554,475.3098364,6.25,4.101,17.62059,46.30012,36.0793
44.878528,-73.26818,NW26T,6.48,1.410631101,137.113343,502.7489244,5.3,3.412,29.22608,39.5107,31.26321
44.94234,-73.22156,NW13C,3.61,1.399026985,75.75731124,277.7768079,4.2,2.532,40.08397589,36.49982476,23.41619936
44.94051,-73.21641,NW13T,3.86,1.593025952,92.23620262,338.1994096,4.18,2.885,29.45351981,36.46271186,34.08376833
44.94301,-72.90042,NW17C,5.88,1.266499855,111.7052872,409.5860531,4.92,3.204,32.52140978,47.97275832,19.50583191
44.94537,-72.90356,NW17T,5.36,1.22026,98.108904,359.732648,5.78,3.789,35.62003,45.05532,19.32464
42.890264,-72.654159,AW6,4.66,1.16263908,81.26847169,297.9843962,6.18,4.035,48.32497,37.32536,14.34967
42.887463,-72.651726,AW7,5.97,1.332499275,119.3253101,437.5261369,6.67,4.399,55.1644,30.90981,13.92578
43.37876,-73.1406,PM2,4.67,1.828854801,128.1112788,469.7413556,3.471571,2.792,64.7667,26.23919,8.994115
43.37601,-73.1426,PM1,2.3,1.817069191,62.68888709,229.8592527,3.132241,2.019,65.43417,26.75209,7.813733
44.436489,-71.944727,D4,5.77,1.238267912,107.1720878,392.9643219,6.09,5.019,52.08724,27.21742,20.69534
44.435966,-71.946269,D6,4.87,1.150756958,84.06279578,308.2302512,5.43,4.268,60.95347,22.98484,16.06169
44.435896,-71.944229,D5,4.03,1.229806908,74.34182759,272.5867012,5.48,4.409,35.56425,45.13081,19.30495
44.96571,-73.0391,NW28C,4.74,1.568030171,111.4869452,408.7854656,4.04,2.54,11.42653107,62.95650024,25.61696868
44.96013,-73.03678,NW28T,4.03,1.426421526,86.22718125,316.1663312,3.72,2.345,10.33121305,66.20706957,23.46171737
44.80394,-72.21891,NW29C,4.86,1.328493087,96.84714604,355.1062022,4.45,3.127,25.70204,53.45439,20.84357
44.80559,-72.2208,NW29T,5.55,1.386380039,115.4161382,423.1925069,5.6,4.079,19.75171,57.05235,23.19593
44.79578,-73.10633,NW25C,3.4,1.27475871,65.01269421,238.3798788,4.75,2.83,38.71588884,43.3179662,17.96614496
44.781668,-73.114036,NW25T,5.13,1.185644368,91.23533412,334.5295584,3,2.019,56.57565683,27.05476923,16.36957395
43.9104269,-73.2136183,D3,2.25,0.9284743,31.33600763,114.8986946,2.08,1.474,72.56659,15.75033,11.68308
43.966429,-72.347245,VE7,4.03,1.210950956,73.20198529,268.4072794,4.53,3.014,61.20948981,27.18788863,11.60262156
43.9634488,-72.350137,VE8,5.33,1.126401354,90.05578825,330.2045569,5.48,3.769,46.75725159,39.14904162,14.09370679
43.7689921,-73.3396092,RM6,5.6,1.161907352,97.60021757,357.8674644,5.42,3.328,12.28056,44.34238,43.37706
44.84762,-73.0729,NW20C,4.67,1.256487367,88.01694006,322.7287802,4.99,3.492,43.01686684,36.35949459,20.62363858
44.88011,-73.06277,NW20T,4.77,1.44343648,103.2778801,378.6855605,4.27,2.624,28.4599864,45.01324379,26.52676981
44.95018,-72.83685,NW21C,3.54,1.476102408,78.38103786,287.3971388,4.25,2.968,37.99910014,48.2296271,13.77127275
44.95042,-72.83883,NW21T,5.65,1.458152016,123.5783834,453.120739,4.96,3.319,39.51919357,41.80481858,18.67598785
44.81406,-73.12485,NW03C,3.38,1.472338425,74.64755815,273.7077132,3.46,2.271,66.68657164,18.65207565,14.66135271
44.81114,-73.1251,NW03T,3.78,1.370215401,77.69121324,284.8677819,2.85,2,72.02931064,15.63651367,12.33417569
45.0097,-73.3072,V101,3.692,2.166899,120.0028666,440.0105109,3.67,2.241,30.13207,47.09046,22.77747
45.0097,-73.3072,V102,3.692,1.805874,100.0093021,366.7007744,3.49,2.33,30.09476,46.70127,23.20397
45.0097,-73.3072,V103,3.51,1.513615,79.69182975,292.2033758,3.15,1.922,33.42813,45.70934,20.86253
45.0097,-73.3072,V104,4.238,1.272433,80.88856581,296.591408,3.92,2.539,29.55496,44.69642,25.74862
45.0097,-73.3072,V105,3.601,2.14896,116.0760744,425.6122728,3.19,2.033,35.81043,45.90709,18.28248
45.0097,-73.3072,V201,3.328,1.640435,81.8905152,300.2652224,3.17,1.941,31.36754,44.65518,23.97728
45.0097,-73.3072,V202,3.783,1.533298,87.00699501,319.0256484,3.49,2.232,36.51542,46.06005,17.42453
45.0097,-73.3072,V203,3.51,1.444599,76.05813735,278.879837,3.32,2.122,40.16242,42.76755,17.07002
45.0097,-73.3072,V204,3.965,1.295356,77.0412981,282.4847597,3.89,2.522,35.00925,42.18506,22.80569
45.0097,-73.3072,V205,3.237,1.266204,61.48053522,225.4286291,3.2,1.974,34.73594,40.7549,24.50916
45.0097,-73.3072,V206,3.146,1.310056,61.82154264,226.6789897,3.55,2.266,35.075,44.09844,20.82656
45.0097,-73.3072,V301,2.873,1.3118,56.532021,207.284077,3.26,2.099,31.61429,44.91409,23.47162
45.0097,-73.3072,V302,3.874,1.521837,88.43394807,324.2578096,3.58,2.462,33.9078,47.12241,18.96979
45.0097,-73.3072,V303,3.328,1.380317,68.90542464,252.6532237,3.6,2.126,34.07678,46.25741,19.66581
45.0097,-73.3072,V304,3.419,1.316783,67.53121616,247.6144592,3.45,2.235,32.587,44.56218,22.85082
45.0097,-73.3072,V305,3.146,1.340453,63.25597707,231.9385826,3.26,2.004,35.94419,41.31767,22.73814
45.0097,-73.3072,V306,3.692,1.517103,84.01716414,308.0629352,3.49,2.113,32.70293,43.53075,23.76631
45.0097,-73.3072,V307,4.875,1.265955,92.57295938,339.4341844,4.54,2.86,21.14284,50.06742,28.78973
45.0097,-73.3072,V401,4.966,1.280655,95.39599095,349.7853002,4.65,3.15,22.11607,50.09071,27.79322
45.0097,-73.3072,V402,3.692,1.455562,80.60902356,295.5664197,3.72,2.383,26.64692,45.73287,27.62021
45.0097,-73.3072,V403,3.783,1.37359,77.94436455,285.7960034,3.48,2.169,29.35427,44.28762,26.35811
45.0097,-73.3072,V404,3.965,1.173021,69.76542398,255.8065546,3.54,2.275,30.10728,47.05172,22.841
45.0097,-73.3072,V405,3.601,1.441111,77.84161067,285.4192391,3.63,2.343,30.97185,47.55347,21.47469
45.0097,-73.3072,V406,3.965,1.178751,70.10621573,257.0561243,3.83,2.653,32.07609,46.21874,21.70517
43.9677,-72.3327,EL1,,,,,6.15,4.183,41.41521,38.56151,20.02327
44.87948,-73.04581,NW22C,3.5,1.342445753,70.47840202,258.4208074,3.73,2.18,39.58800188,42.07138207,18.34061606
44.87932,-73.04251,NW22T,4.36,1.187985375,77.69424353,284.8788929,4.04,2.532,36.96790067,44.04065484,18.99144448
42.876717,-72.584817,AW51,3.92,1.339372844,78.75512323,288.7687852,5.74,3.263,61.78232,25.57263,12.64505
42.877037,-72.584563,AW52,3.59,1.425248179,76.74961444,281.4152529,4.39,2.89,71.84686,19.94533,8.20781
44.97,-73.01,Z1,9.05,1.011069945,137.252745,503.2600651,10.04207665,6.789,25.40408577,50.5101764,24.08573783
44.97,-73.01,Z2,6.42,1.213300545,116.8408424,428.4164223,7.005195997,4.927,21.19478033,55.31320721,23.49201245
44.32,-73.22,H1,,,,,5.351816575,4.458,30.89102,35.81887,33.29011
44.32,-73.22,H2,,,,,5.861977147,4.236,42.41387,34.48879,23.09734
44.32,-73.22,H5,,,,,4.88,3.021,18.53501,54.7189,26.74609
44.32,-73.22,H6,,,,,5.71,3.537,16.32629,52.98623,30.68747
44.32,-73.22,H7,,,,,5.02,2.934,11.11782,53.38027,35.50191
44.32,-73.22,H8,,,,,5.14,3.21,12.62237,52.33485,35.04278
44.32,-73.22,H9,,,,,5.69,3.649,12.04481,48.54872,39.40647
44.32,-73.22,H10,,,,,5.27,3.35,23.74808,47.05637,29.19555
44.32,-73.22,H11,,,,,4.27,2.885,34.90462,43.95938,21.136
44.32,-73.22,H12,,,,,7.37,4.744,15.01066,52.0519,32.93743
44.32,-73.22,H3,,,,,4.49,2.404,10.86335,43.74899,45.38766
44.32,-73.22,H4,,,,,4.92,2.832,8.950129,47.78334,43.26653
44.32,-73.22,H15,,,,,4.52,2.619,10.59677,49.81955,39.58367
44.32,-73.22,H16,,,,,5.78,3.419,9.300536,53.05026,37.64921
44.32,-73.22,H17,,,,,4.71,2.633,10.25885,47.89924,41.84191
44.32,-73.22,H18,,,,,4.93,2.813,8.65836,50.6181,40.72354
44.32,-73.22,H19,,,,,4.6,2.666,11.45865,44.13427,44.40708
44.32,-73.22,H20,,,,,5.52,3.369,10.34861,50.48645,39.16493
44.32,-73.22,H21,,,,,3.35,2.216,30.54909,43.85976,25.59115
44.32,-73.22,H22,,,,,3.89,2.486,32.31378,43.6929,23.99332
