Field_Code,Longitude,Latitude,Elevation (ft),Date,ppt.in,ppt.cm,tmeanF,tmeanC
AW14,-72.43,43.7,823,Annual,42.16,107.0864,44.2,6.777777778
NW19C,-73.3033,44.9863,111,Annual,39.83,101.1682,45.2,7.333333333
NW19T,-73.3,44.9897,123,Annual,39.94,101.4476,45.1,7.277777778
NW10C,-72.8362,45.0057,474,Annual,44.26,112.4204,44.1,6.722222222
NW10T,-72.8383,45.0028,472,Annual,44.1,112.014,44.2,6.777777778
NW01C,-73.0212,44.9328,290,Annual,41.6,105.664,45,7.222222222
NW01T,-73.0503,44.92,258,Annual,41.22,104.6988,45.2,7.333333333
WR1,-72.1614,43.896,453,Annual,38.9,98.806,45,7.222222222
WR4,-72.1641,43.8927,428,Annual,38.87,98.7298,45.1,7.277777778
D7,-73.18,43.36,736,Annual,46.99,119.3546,45.7,7.611111111
D8,-73.17,43.38,1052,Annual,48.09,122.1486,45,7.222222222
NW06C,-72.9652,44.908,342,Annual,41.96,106.5784,44.9,7.166666667
NW06T,-72.9557,44.9023,358,Annual,41.97,106.6038,44.9,7.166666667
AW10,-72.97,44.29,853,Annual,46.49,118.0846,43.9,6.611111111
AW11,-72.96,44.27,872,Annual,47.62,120.9548,43.8,6.555555556
EL3,-72.4554,44.8379,1307,Annual,50.77,128.9558,41.9,5.5
WR2,-72.1881,43.8067,434,Annual,39.02,99.1108,45.3,7.388888889
WR3,-72.1859,43.8068,417,Annual,39.04,99.1616,45.4,7.444444444
AW8,-72.4252,43.5505,681,Annual,42.58,108.1532,44.9,7.166666667
AW9,-72.4239,43.5485,680,Annual,42.52,108.0008,44.9,7.166666667
RM10,-73.1956,43.0017,1001,Annual,49.45,125.603,45.3,7.388888889
RM9,-73.1959,43.0002,1009,Annual,49.44,125.5776,45.3,7.388888889
AW2,-72.8634,42.8041,1949,Annual,55.54,141.0716,42.9,6.055555556
AW3,-72.8635,42.7931,1834,Annual,55.57,141.1478,42.8,6
WR5,-72.3764,43.6027,652,Annual,41.01,104.1654,44.9,7.166666667
WR6,-72.3977,43.5992,765,Annual,42.07,106.8578,44.6,7
DC22,-73.3666,44.0003,200,Annual,36.46,92.6084,46.6,8.111111111
DC23,-73.3666,44.0001,200,Annual,36.46,92.6084,46.6,8.111111111
DC25,-73.36,43.97,195,Annual,36.61,92.9894,46.7,8.166666667
DC26,-73.3599,43.9769,189,Annual,36.58,92.9132,46.7,8.166666667
DC38,-73.3675,43.9598,235,Annual,36.65,93.091,46.6,8.111111111
DC39,-73.361,43.9608,232,Annual,36.66,93.1164,46.6,8.111111111
DC40,-73.3178,43.9755,247,Annual,36.73,93.2942,46.4,8
DA3,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA2,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA4,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA1,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
WR8,-72.6005,43.6849,1218,Annual,46.98,119.3292,42.8,6
WR7,-72.5991,43.6785,1266,Annual,46.8,118.872,42.7,5.944444444
RM11,-73.0927,43.1396,955,Annual,52.09,132.3086,45.1,7.277777778
RM4,-73.107,43.9833,418,Annual,40.26,102.2604,45.8,7.666666667
RM5,-73.1106,43.982,412,Annual,40.16,102.0064,45.8,7.666666667
RM1,-72.8704,43.4859,1348,Annual,50.05,127.127,44.1,6.722222222
NW12C,-72.9706,44.9672,285,Annual,42.61,108.2294,45,7.222222222
NW12T,-72.9715,44.967,278,Annual,42.58,108.1532,45,7.222222222
LO16,-73.0977,44.1413,516,Annual,41.15,104.521,45.2,7.333333333
LO17,-73.0966,44.1409,523,Annual,41.25,104.775,45.2,7.333333333
LO18,-73.1019,44.1432,513,Annual,41.07,104.3178,45.2,7.333333333
LO19,-73.1028,44.1384,480,Annual,40.86,103.7844,45.4,7.444444444
LO20,-73.1098,44.1439,496,Annual,40.81,103.6574,45.3,7.388888889
LO21,-73.1145,44.1451,484,Annual,40.79,103.6066,45.4,7.444444444
LO22,-73.108,44.142,496,Annual,40.79,103.6066,45.3,7.388888889
LO23,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO24,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO25,-73.118,44.136,396,Annual,40.35,102.489,45.7,7.611111111
LO26,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO27,-73.1229,44.1477,478,Annual,40.74,103.4796,45.4,7.444444444
LO28,-73.1258,44.1504,487,Annual,40.76,103.5304,45.4,7.444444444
LO30,-73.1245,44.1496,485,Annual,40.76,103.5304,45.4,7.444444444
LO31,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO32,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO33,-73.1237,44.1449,447,Annual,40.55,102.997,45.5,7.5
LO34,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO35,-73.1,44.154,540,Annual,41.67,105.8418,45.1,7.277777778
NW23C,-73.1404,44.9057,156,Annual,39.86,101.2444,45.6,7.555555556
NW23T,-73.1478,44.9021,150,Annual,39.71,100.8634,45.6,7.555555556
NW07C,-72.8009,44.8663,427,Annual,43.01,109.2454,44.6,7
NW07T,-72.8002,44.8693,452,Annual,42.93,109.0422,44.5,6.944444444
D1,-71.9552,44.4296,888,Annual,41.52,105.4608,42.5,5.833333333
VE2,-72.6216,44.1029,1513,Annual,45.05,114.427,42,5.555555556
VE1,-72.6206,44.1018,1511,Annual,45.1,114.554,42,5.555555556
RM2,-73.3346,43.9303,325,Annual,36.99,93.9546,46.2,7.888888889
RM3,-73.3367,43.9314,317,Annual,36.97,93.9038,46.2,7.888888889
AW15,-73.31,44.04,181,Annual,36.83,93.5482,46.6,8.111111111
AW16,-73.31,44.05,199,Annual,37.01,94.0054,46.6,8.111111111
VE9,-73.3086,43.8147,317,Annual,37.58,95.4532,46.3,7.944444444
VE10,-73.313,43.8223,281,Annual,37.35,94.869,46.5,8.055555556
EL5,-72.2589,44.6888,1853,Annual,49.47,125.6538,40.2,4.555555556
AW1,-73.2063,44.431,222,Annual,38.4,97.536,46.3,7.944444444
NW02C,-73.0709,44.9207,184,Annual,41.05,104.267,45.4,7.444444444
NW02T,-73.0818,44.9193,154,Annual,40.86,103.7844,45.6,7.555555556
NW08C,-72.803,44.8395,564,Annual,44.84,113.8936,44,6.666666667
NW08T,-72.8037,44.8303,610,Annual,45.48,115.5192,43.9,6.611111111
NW11C,-73.1077,44.8288,340,Annual,39.54,100.4316,45.2,7.333333333
NW11T,-73.1038,44.8308,340,Annual,39.58,100.5332,45.2,7.333333333
PM3,-73.1643,43.3118,736,Annual,48.05,122.047,45.8,7.666666667
D2,-73.2677,44.2918,167,Annual,36.49,92.6846,46.6,8.111111111
LC1,-72.8399,44.9836,540,Annual,43.58,110.6932,43.9,6.611111111
LC10,-72.8373,44.9774,659,Annual,43.53,110.5662,43.5,6.388888889
LC11,-72.8356,44.9945,483,Annual,43.87,111.4298,44.2,6.777777778
LC12,-72.8529,44.9779,500,Annual,43.35,110.109,44.2,6.777777778
LC14,-72.8926,44.9443,471,Annual,42.66,108.3564,44.4,6.888888889
LC15,-72.9117,44.9511,573,Annual,43.3,109.982,44,6.666666667
LC16,-72.841,44.9912,449,Annual,43.7,110.998,44.3,6.833333333
LC17,-72.841,44.9818,554,Annual,43.57,110.6678,43.9,6.611111111
LC18,-72.8939,44.9692,519,Annual,43.32,110.0328,44.1,6.722222222
LC19,-72.9033,44.9491,511,Annual,43.04,109.3216,44.2,6.777777778
LC4,-72.88,44.9889,488,Annual,43.59,110.7186,44.2,6.777777778
LC5,-72.9161,44.9582,701,Annual,43.58,110.6932,43.7,6.5
LC6,-72.9014,44.948,502,Annual,43,109.22,44.2,6.777777778
LC8,-72.8438,44.9541,681,Annual,43.09,109.4486,43.5,6.388888889
NW24C,-73.0447,44.89,330,Annual,40.97,104.0638,45.1,7.277777778
NW24T,-73.0668,44.8614,381,Annual,40.4,102.616,45,7.222222222
EL2,-73.2839,43.7112,262,Annual,39.17,99.4918,46.7,8.166666667
NW14C,-73.1714,44.822,123,Annual,38.8,98.552,45.9,7.722222222
NW14T,-73.1728,44.8208,120,Annual,38.79,98.5266,46,7.777777778
NW18C,-73.0231,44.9567,272,Annual,42.06,106.8324,45,7.222222222
NW18T,-73.0326,44.9604,274,Annual,42.09,106.9086,45,7.222222222
NW15C,-72.9213,44.9764,518,Annual,43.58,110.6932,44.2,6.777777778
NW15T,-72.9208,44.978,504,Annual,43.57,110.6678,44.2,6.777777778
NW16C,-73.0744,44.8802,344,Annual,40.47,102.7938,45,7.222222222
NW16T,-73.0759,44.8789,337,Annual,40.37,102.5398,45.1,7.277777778
NW04C,-72.8139,44.9818,545,Annual,44.08,111.9632,43.9,6.611111111
NW04H,-72.8122,44.9823,558,Annual,44.15,112.141,43.9,6.611111111
NW04T,-72.8139,44.9818,545,Annual,44.08,111.9632,43.9,6.611111111
MC01,-73.2559,44.3668,169,Annual,36.67,93.1418,46.5,8.055555556
MC02,-73.2607,44.3545,167,Annual,36.64,93.0656,46.5,8.055555556
MC03,-73.263,44.3682,142,Annual,36.35,92.329,46.6,8.111111111
MC04,-73.2648,44.3683,133,Annual,36.26,92.1004,46.6,8.111111111
MC05,-73.2512,44.3699,208,Annual,36.86,93.6244,46.3,7.944444444
MC06,-73.262,44.3543,165,Annual,36.59,92.9386,46.5,8.055555556
MC07,-73.252,44.3697,206,Annual,36.85,93.599,46.3,7.944444444
MC08,-73.2671,44.3712,118,Annual,36.05,91.567,46.6,8.111111111
MC09,-73.2475,44.3701,210,Annual,37.08,94.1832,46.3,7.944444444
MC10,-73.25,44.37,214,Annual,37.04,94.0816,46.3,7.944444444
AW13,-73.23,43.82,352,Annual,38.69,98.2726,46.2,7.888888889
AW12,-73.14,43.5,1127,Annual,47.14,119.7356,44.7,7.055555556
VE3,-73.1317,44.4792,248,Annual,40.35,102.489,46.2,7.888888889
VE5,-73.0486,44.4691,315,Annual,41.63,105.7402,45.8,7.666666667
VE6,-73.0468,44.4765,307,Annual,41.74,106.0196,45.9,7.722222222
VE4,-73.1362,44.4827,256,Annual,40.28,102.3112,46.2,7.888888889
NW09C,-72.4136,44.8919,766,Annual,47.41,120.4214,42.8,6
NW09H,-72.4107,44.8899,775,Annual,47.3,120.142,42.8,6
NW09T,-72.4126,44.8911,769,Annual,47.35,120.269,42.8,6
RM7,-73.3342,43.6314,215,Annual,41.78,106.1212,47.4,8.555555556
RM8,-73.336,43.6312,213,Annual,41.8,106.172,47.4,8.555555556
NW27C,-73.1647,44.8582,146,Annual,39.01,99.0854,45.8,7.666666667
NW27T,-73.1706,44.8556,144,Annual,38.97,98.9838,45.8,7.666666667
NW05C,-72.9812,44.6867,522,Annual,42.6,108.204,44.6,7
NW05T,-72.9806,44.6855,517,Annual,42.55,108.077,44.6,7
NW26C,-73.2587,44.8715,108,Annual,38.48,97.7392,45.9,7.722222222
NW26T,-73.2682,44.8785,108,Annual,38.42,97.5868,45.8,7.666666667
NW13C,-73.2216,44.9423,115,Annual,39.87,101.2698,45.6,7.555555556
NW13T,-73.2164,44.9405,121,Annual,39.89,101.3206,45.6,7.555555556
NW17C,-72.9004,44.943,548,Annual,42.77,108.6358,44.1,6.722222222
NW17T,-72.9036,44.9454,543,Annual,42.95,109.093,44.1,6.722222222
AW6,-72.6542,42.8903,1166,Annual,52.27,132.7658,45,7.222222222
AW7,-72.6517,42.8875,1050,Annual,52.11,132.3594,45.2,7.333333333
PM2,-73.1406,43.3788,1016,Annual,48.51,123.2154,45,7.222222222
PM1,-73.1426,43.376,987,Annual,48.35,122.809,45,7.222222222
D4,-71.9447,44.4365,897,Annual,41.68,105.8672,42.4,5.777777778
D6,-71.9463,44.436,889,Annual,41.66,105.8164,42.5,5.833333333
D5,-71.9442,44.4359,893,Annual,41.66,105.8164,42.4,5.777777778
NW28C,-73.0391,44.9657,286,Annual,42.2,107.188,45,7.222222222
NW28T,-73.0368,44.9601,285,Annual,42.09,106.9086,45,7.222222222
NW29C,-72.2189,44.8039,998,Annual,45.76,116.2304,41.7,5.388888889
NW29T,-72.2208,44.8056,1012,Annual,45.78,116.2812,41.6,5.333333333
NW25C,-73.1063,44.7958,333,Annual,39.93,101.4222,45.3,7.388888889
NW25T,-73.114,44.7817,312,Annual,39.87,101.2698,45.5,7.5
D3,-73.2136,43.9104,403,Annual,38.44,97.6376,46,7.777777778
VE7,-72.3472,43.9664,1670,Annual,46.49,118.0846,41.4,5.222222222
VE8,-72.3501,43.9634,1713,Annual,46.61,118.3894,41.4,5.222222222
RM6,-73.3396,43.769,203,Annual,37.42,95.0468,46.8,8.222222222
NW20C,-73.0729,44.8476,412,Annual,40.29,102.3366,44.9,7.166666667
NW20T,-73.0628,44.8801,329,Annual,40.63,103.2002,45.1,7.277777778
NW21C,-72.8368,44.9502,701,Annual,43.04,109.3216,43.4,6.333333333
NW21T,-72.8388,44.9504,671,Annual,43.02,109.2708,43.5,6.388888889
NW03C,-73.1248,44.8141,210,Annual,39.26,99.7204,45.7,7.611111111
NW03T,-73.1251,44.8111,185,Annual,39.24,99.6696,45.8,7.666666667
V101,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V102,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V103,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V104,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V105,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V201,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V202,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V203,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V204,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V205,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V206,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V301,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V302,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V303,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V304,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V305,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V306,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V307,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V401,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V402,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V403,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V404,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V405,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
V406,-73.3072,45.0097,127,Annual,40.06,101.7524,45,7.222222222
EL1,-72.3327,43.9677,1399,Annual,46.36,117.7544,42,5.555555556
NW22C,-73.0458,44.8795,355,Annual,40.89,103.8606,45,7.222222222
NW22T,-73.0425,44.8793,362,Annual,40.92,103.9368,45,7.222222222
AW51,-72.5848,42.8767,402,Annual,48.1,122.174,47,8.333333333
AW52,-72.5846,42.877,401,Annual,48.1,122.174,47,8.333333333
Z1,-73.01,44.97,282,Annual,42.27,107.3658,45,7.222222222
Z2,-73.01,44.97,282,Annual,42.27,107.3658,45,7.222222222
H1,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H2,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H5,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H6,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H7,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H8,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H9,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H10,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H11,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H12,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H3,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H4,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H15,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H16,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H17,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H18,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H19,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H20,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H21,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
H22,-73.22,44.32,332,Annual,38.91,98.8314,46,7.777777778
A1,-73.311,44.0379,173,Annual,36.75,93.345,46.7,8.166666667
A2,-73.313,44.038,168,Annual,36.7,93.218,46.7,8.166666667
A3,-73.3137,44.0375,166,Annual,36.68,93.1672,46.7,8.166666667
A4,-73.3119,44.0379,171,Annual,36.73,93.2942,46.7,8.166666667
B1,-72.4552,44.8376,1308,Annual,50.72,128.8288,41.9,5.5
B2,-72.4555,44.8372,1316,Annual,50.71,128.8034,41.9,5.5
B3,-72.4552,44.8367,1320,Annual,50.66,128.6764,41.8,5.444444444
B4,-72.455,44.8383,1299,Annual,50.76,128.9304,41.9,5.5
B5,-72.4556,44.8384,1304,Annual,50.84,129.1336,41.9,5.5
B6,-72.4556,44.8377,1311,Annual,50.77,128.9558,41.9,5.5
BB1,-73.1567,44.4129,399,Annual,40.42,102.6668,45.6,7.555555556
CH1,-73.0098,44.9651,277,Annual,42.22,107.2388,45,7.222222222
CH2,-73.0083,44.9657,281,Annual,42.23,107.2642,45,7.222222222
CH3,-73.0083,44.9672,282,Annual,42.23,107.2642,45,7.222222222
CH4,-73.0071,44.9678,285,Annual,42.24,107.2896,45,7.222222222
EH1,-72.3365,44.5358,1223,Annual,45.59,115.7986,41.4,5.222222222
EH2,-72.3364,44.5358,1223,Annual,45.59,115.7986,41.4,5.222222222
EH3,-72.3364,44.5348,1220,Annual,45.54,115.6716,41.4,5.222222222
EH4,-72.3355,44.5346,1216,Annual,45.53,115.6462,41.4,5.222222222
EH5,-72.3357,44.5346,1217,Annual,45.53,115.6462,41.4,5.222222222
EH6,-72.3348,44.5352,1217,Annual,45.55,115.697,41.4,5.222222222
L1,-73.2807,43.7134,298,Annual,39.06,99.2124,46.6,8.111111111
L10,-73.2846,43.7107,260,Annual,39.18,99.5172,46.7,8.166666667
L11,-73.2831,43.7108,270,Annual,39.12,99.3648,46.7,8.166666667
L12,-73.2824,43.7107,270,Annual,39.12,99.3648,46.7,8.166666667
L2,-73.2806,43.713,296,Annual,39.06,99.2124,46.6,8.111111111
L3,-73.2814,43.7125,290,Annual,39.07,99.2378,46.6,8.111111111
L4,-73.2817,43.7117,282,Annual,39.09,99.2886,46.7,8.166666667
L5,-73.2853,43.7112,262,Annual,39.18,99.5172,46.7,8.166666667
L6,-73.2847,43.7122,267,Annual,39.17,99.4918,46.7,8.166666667
L7,-73.2842,43.7115,263,Annual,39.17,99.4918,46.7,8.166666667
L8,-73.2832,43.7113,275,Annual,39.11,99.3394,46.7,8.166666667
L9,-73.2853,43.7108,261,Annual,39.19,99.5426,46.7,8.166666667
LA1,-72.5077,43.9888,1483,Annual,42.4,107.696,41.9,5.5
LA2,-72.5093,43.9889,1503,Annual,42.47,107.8738,41.9,5.5
LA3,-72.5079,43.9903,1504,Annual,42.47,107.8738,41.9,5.5
LA4,-72.5073,43.99,1497,Annual,42.45,107.823,41.9,5.5
LA5,-72.507,43.9903,1499,Annual,42.46,107.8484,41.9,5.5
N1,-72.3248,43.7404,830,Annual,42.04,106.7816,43.9,6.611111111
N2,-72.3239,43.7402,826,Annual,42.01,106.7054,44,6.666666667
N3,-72.3246,43.7412,833,Annual,42.07,106.8578,43.9,6.611111111
N4,-72.3252,43.741,836,Annual,42.08,106.8832,43.9,6.611111111
PR1,-73.2163,44.3191,318,Annual,39.02,99.1108,46,7.777777778
PR2,-73.2148,44.318,319,Annual,39.02,99.1108,46,7.777777778
PR3,-73.2148,44.3181,319,Annual,39.02,99.1108,46,7.777777778
PR4,-73.2145,44.3194,316,Annual,39.03,99.1362,46,7.777777778
PR5,-73.2135,44.3193,315,Annual,39.04,99.1616,46,7.777777778
SR1,-72.3052,44.7178,1574,Annual,49.26,125.1204,41.1,5.055555556
SR2,-72.3043,44.7183,1571,Annual,49.27,125.1458,41.1,5.055555556
SR3,-72.304,44.7174,1581,Annual,49.3,125.222,41.1,5.055555556
SR4,-72.3054,44.7169,1579,Annual,49.27,125.1458,41.1,5.055555556
SR5,-72.3056,44.7169,1579,Annual,49.26,125.1204,41.1,5.055555556
T1,-72.9846,44.3149,676,Annual,44.97,114.2238,44.5,6.944444444
T2,-72.9862,44.3135,697,Annual,45.18,114.7572,44.4,6.888888889
T3,-72.985,44.3129,692,Annual,45.19,114.7826,44.4,6.888888889
V1,-72.3339,43.9679,1411,Annual,46.38,117.8052,42,5.555555556
V10,-72.3327,43.9689,1394,Annual,46.31,117.6274,42,5.555555556
V11,-72.3322,43.9684,1395,Annual,46.33,117.6782,42,5.555555556
V12,-72.3321,43.969,1393,Annual,46.29,117.5766,42,5.555555556
V2,-72.3335,43.9682,1414,Annual,46.37,117.7798,42,5.555555556
V3,-72.3331,43.9683,1397,Annual,46.34,117.7036,42,5.555555556
V4,-72.3332,43.9685,1396,Annual,46.34,117.7036,42,5.555555556
V5,-72.3338,43.967,1402,Annual,46.38,117.8052,42,5.555555556
V6,-72.3334,43.9677,1407,Annual,46.38,117.8052,42,5.555555556
V7,-72.3326,43.9679,1398,Annual,46.36,117.7544,42,5.555555556
V8,-72.332,43.9678,1396,Annual,46.35,117.729,42,5.555555556
V9,-72.3316,43.9691,1391,Annual,46.28,117.5512,42,5.555555556
W1,-72.6875,43.9265,878,Annual,45.35,115.189,43.7,6.5
W2,-72.688,43.9265,896,Annual,45.39,115.2906,43.7,6.5
W3,-72.6888,43.9265,923,Annual,45.45,115.443,43.6,6.444444444
W4,-72.6891,43.9267,928,Annual,45.47,115.4938,43.6,6.444444444
